title,year,genres,rating,votes
Munna Bhai M.B.B.S.,2003,"Comedy,Drama,Musical",8.1,69039
Black,2005,Drama,8.2,32100
Crash,2004,"Crime,Drama,Thriller",7.8,409562
Anniyan,2005,"Action,Drama,Thriller",8.2,12956
The Return,2003,Drama,8.0,40055
Shameless,2004,"Comedy,Crime,Drama",8.0,13827
Dear Frankie,2004,"Drama,Romance",7.7,20670
Kill Bill: Vol. 2,2004,"Action,Crime,Thriller",8.0,651522
Machuca,2004,"Biography,Drama,History",7.7,10561
The Corporation,2003,"Documentary,History",8.1,19965
Touching the Void,2003,"Adventure,Documentary,Drama",8.0,32426
Hustle,2004,"Crime,Drama,Mystery",8.1,20905
Serenity,2005,"Action,Adventure,Sci-Fi",7.8,276532
QI,2003,"Comedy,Game-Show",8.6,28595
Cocaine Cowboys,2006,"Crime,Documentary,History",7.8,12125
Casino Royale,2006,"Action,Adventure,Thriller",8.0,559088
Before Sunset,2004,"Drama,Romance",8.0,220177
Rescue Me,2004,"Comedy,Drama",8.3,24402
3:10 to Yuma,2007,"Action,Crime,Drama",7.7,278369
Ratatouille,2007,"Adventure,Animation,Comedy",8.0,609339
"Synecdoche, New York",2008,"Comedy,Drama",7.6,76713
MythBusters,2003,"Documentary,Mystery,Reality-TV",8.3,49324
Grand Theft Auto: San Andreas,2004,"Action,Adventure,Comedy",9.4,32806
Vera Drake,2004,"Crime,Drama",7.6,23021
G.O.R.A.,2004,"Adventure,Comedy,Sci-Fi",8.0,52937
Rome,2005,"Action,Drama,History",8.7,147473
Stewie Griffin: The Untold Story,2005,"Adventure,Animation,Comedy",7.6,31893
Sicko,2007,"Documentary,Drama",7.9,72588
Tae Guk Gi: The Brotherhood of War,2004,"Action,Drama,War",8.1,36635
The Office,2005,Comedy,8.9,345248
Something the Lord Made,2004,"Biography,Drama",8.2,11593
Entourage,2004,"Comedy,Drama",8.4,154754
Saw,2004,"Horror,Mystery,Thriller",7.6,365057
Farscape: The Peacekeeper Wars,2004,"Action,Adventure,Drama",8.2,14513
Peep Show,2003,Comedy,8.6,49180
Tokyo Godfathers,2003,"Adventure,Animation,Comedy",7.8,28488
The Staircase,2004,"Crime,Documentary,Drama",7.9,15505
Brokeback Mountain,2005,"Drama,Romance",7.7,310535
Black Book,2006,"Drama,Thriller,War",7.7,70250
Earth,2007,Documentary,8.0,14026
Hotel Rwanda,2004,"Biography,Drama,History",8.1,323278
Resident Evil 4,2005,"Action,Adventure,Horror",9.2,10048
Garth Marenghi's Darkplace,2004,"Comedy,Fantasy,Horror",8.5,15162
Tangled,2010,"Adventure,Animation,Comedy",7.7,385982
Lord of War,2005,"Action,Crime,Drama",7.6,285430
Black Friday,2004,"Action,Crime,Drama",8.5,17207
C.R.A.Z.Y.,2005,"Comedy,Drama",7.9,30728
The Diving Bell and the Butterfly,2007,"Biography,Drama",8.0,100547
Sin City,2005,"Crime,Thriller",8.0,727162
Boston Legal,2004,"Comedy,Crime,Drama",8.4,41126
Long Way Round,2004,"Adventure,Documentary",8.6,11244
The Lives of Others,2006,"Drama,Mystery,Thriller",8.4,339860
Million Dollar Baby,2004,"Drama,Sport",8.1,608935
Rang De Basanti,2006,"Comedy,Drama",8.2,105180
Battlestar Galactica,2004,"Action,Adventure,Drama",8.7,146495
The Departed,2006,"Crime,Drama,Thriller",8.5,1129266
Doc Martin,2004,"Comedy,Drama,Romance",8.3,11072
Nobody Knows,2004,Drama,8.1,22998
Watchmen,2009,"Action,Drama,Mystery",7.6,481574
Naruto,2002,"Action,Adventure,Animation",8.3,61555
Lost,2004,"Adventure,Drama,Fantasy",8.3,471209
The World's Fastest Indian,2005,"Biography,Drama,Sport",7.8,50332
House,2004,"Drama,Mystery",8.7,393700
Veronica Mars,2004,"Crime,Drama,Mystery",8.3,65483
Grey's Anatomy,2005,"Drama,Romance",7.6,230168
Pride & Prejudice,2005,"Drama,Romance",7.8,240332
Match Point,2005,"Drama,Romance,Thriller",7.6,198432
The Mighty Boosh,2003,"Comedy,Fantasy,Musical",8.3,19670
300,2006,"Action,Drama",7.6,711864
The Lizard,2004,"Comedy,Drama",8.5,12938
Avatar: The Last Airbender,2005,"Action,Adventure,Animation",9.2,210165
North & South,2004,"Drama,Romance",8.6,28423
The Venture Bros.,2003,"Animation,Comedy,Sci-Fi",8.5,22643
Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family",7.6,442945
Rory O'Shea Was Here,2004,"Comedy,Drama",7.8,13934
Adam's Apples,2005,"Comedy,Crime,Drama",7.8,43491
Foster's Home for Imaginary Friends,2004,"Adventure,Animation,Comedy",7.6,17786
Dead Man's Shoes,2004,"Crime,Drama,Thriller",7.6,47688
The Kite Runner,2007,Drama,7.6,75757
Stranger Than Fiction,2006,"Comedy,Drama,Fantasy",7.6,212421
Veer-Zaara,2004,"Drama,Family,Musical",7.8,46628
Beyond the Gates,2005,"Drama,History,War",7.7,10743
Control,2007,"Biography,Drama,Music",7.7,59541
Avrupa Yakasi,2004,Comedy,8.5,14754
Fullmetal Alchemist,2003,"Action,Adventure,Animation",8.6,58106
The Curious Case of Benjamin Button,2008,"Drama,Fantasy,Romance",7.8,561182
Green Wing,2004,"Comedy,Drama",8.3,10593
Samurai Champloo,2004,"Action,Adventure,Animation",8.5,37154
3-Iron,2004,"Crime,Drama,Romance",8.0,46953
Joyeux Noel,2005,"Drama,History,Music",7.7,26700
Turtles Can Fly,2004,"Drama,War",8.1,17036
Hot Fuzz,2007,"Action,Comedy,Mystery",7.8,443490
Lucky Number Slevin,2006,"Crime,Drama,Mystery",7.7,293552
Pardon,2005,"Comedy,Drama",8.2,17163
Sophie Scholl: The Final Days,2005,"Biography,Crime,Drama",7.6,25680
The Great Debaters,2007,"Biography,Drama,Romance",7.6,54396
Grizzly Man,2005,"Biography,Documentary",7.8,50270
Thank You for Smoking,2005,"Comedy,Drama",7.6,209236
A Moment to Remember,2004,"Drama,Romance",8.2,20566
Sarkar,2005,"Action,Crime,Drama",7.6,14980
Fantastic Mr. Fox,2009,"Adventure,Animation,Comedy",7.9,186273
V for Vendetta,2005,"Action,Drama,Sci-Fi",8.2,987157
Bleach: Burîchi,2004,"Action,Adventure,Animation",8.1,41079
Monster,2004,"Animation,Crime,Drama",8.6,17767
